ulasan,sentimen
belum punya pendapat khusus menurutku,Netral
awalnya kurang menarik tapi jadi suka haha,Positif
outfitnya menarik,Netral
awalnya kurang yakin tapi jadi suka jujur,Positif
stylenya kurang cocok haha,Negatif
modelnya keren wkwk,Positif
awalnya biasa aja tapi ternyata cocok haha,Positif
warnanya oke wkwk,Positif
waktu pertama lihat biasa aja tapi ternyata bagus juga sih,Positif
banyak yang bilang kereen tapi kurang cocok,Negatif
pas pertama lihat cukup bgs tapi ga buruk juga jujur,Netral
banyak yang bilang keren tapi ga sesuai ekspektasi,Negatif
stylenya bagus tapi tetap terlihat menarik imo,Positif
desainnya cukup bagus tapi ga buruk juga,Netral
desainnya kurang cocok haha,Negatif
menarikk sih tapi ga ada yang spesial jujur,Netral
banyak yang bilang keren tapi kurang masuk di saya jujur,Negatif
menarik sih tapi ga ada yang spesial imo,Netral
awalnya kurang yakin tapi makin menarik,Positif
setelah beberapa kali lihat bagus tapi lumayan aja,Netral
kombinasi warnanya lumayan haha,Positif
banyak yang bilang keren tapi makin membosankan imo,Negatif
waktu pertama lihat biasa aja tapi malah estetik,Positif
awalnya kurang yakin tapi ternyata bagus juga menurutku,Positif
outfitnya terlihat oke tapi masih standar imo,Netral
pas pertama lihat biasa aja tapi jadi suka,Positif
warnanya menarik tapi menurut saya kurang cocok,Negatif
stylenya agak monoton,Negatif
awalnya suka tapi ga sesuai ekspektasi,Negatif
mungkin cocok buat orang lain tapi bukan gue menurutku,Negatif
awalnya biasa aja tapi ternyata krn sih,Positif
jujur biasa aja tapi ternyata krn jujur,Positif
outfitnya lumayan imo,Netral
jujur biasa aja tapi jadi pengen coba menurutku,Positif
kombinasi warnanya estetik tapi tetap terlihat menarik haha,Positif
awalnya kurang yakin tapi jadi suka,Positif
setelah beberapa kali lihat membosankan tapi makin dilihat makin menarik,Positif
sejujurnya biasa aja tapi makin dilihat makin menarik,Positif
waktu pertama lihat keren tapi lumayan aja imo,Netral
looknya menarik imo,Netral
waktu pertama lihat keren tapi terasa monoton,Negatif
warnanya unik haha,Netral
awalnya lumayan tapi lumayan aja,Netral
banyak yang bilang krn tapi kurang cocok menurutku,Negatif
warnanya unik tapi menurut saya terlalu biasa haha,Negatif
desainnya estetik haha,Netral
awalnya suka tapi makin membosankan,Negatif
warnanya agak monoton haha,Negatif
banyak yang bilang krn tapi jadi biasa aja,Negatif
awalnya suka tapi kurang masuk di saya wkwk,Negatif
awalnya kurang yakin tapi ternyata cocok menurutku,Positif
desainnya agak monoton wkwk,Negatif
banyak yang bilang keren tapi kurang masuk di gue jujur,Negatif
awalnya suka tapi ternyata kurang menarik,Negatif
desainnya lumayan tapi tetap terlihat menarik menurutku,Positif
menarik sih tapi lumayan aja,Netral
looknya estetik tapi tetap terlihat menarik,Positif
belum punya pendapat khusus imo,Netral
saya paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
stylenya oke,Positif
banyak yang bilang keren tapi jadi biasa aja haha,Negatif
kombinasi warnanya cukup bagus tapi menurut gue agak monoton,Negatif
awalnya lumayan baguss tapi terasa monoton wkwk,Negatif
mungkin cocok buat orang lain tapi bukan saya menurutku,Negatif
awalnya bagus tapi ternyata kurang menarik wkwk,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya wkwk,Negatif
stylenya kurang estetik sih,Negatif
kalau menurut saya biasa aja tapi ternyata cocok sih,Positif
warnanya estetik tapi belum tentu saya pakai haha,Netral
outfitnya estetik tapi menurut saya kurang estetik,Negatif
awalnya kurang yakin tapi makin menarik jujur,Positif
ga jelek tapi juga tidak spesial,Netral
buat saya pribadi membosankan tapi ternyata keren menurutku,Positif
kombinasi warnanya keren,Netral
outfitnya terlihat oke tapi lumayan aja menurutku,Netral
entah kenapa unik tapi makin membosankan menurutku,Negatif
kombinasi warnanya keren,Netral
menarik sih tapi ga buruk juga jujur,Netral
outfitnya estetik tapi menurut saya kurang menarik sih,Negatif
awalnya suka tapi jadi biasa aja jujur,Negatif
awalnya kurang yakin tapi jadi suka,Positif
kombinasi warnanya menarik wkwk,Netral
banyak yang suka tapi saya kurang tertarik,Negatif
masih biasa aja menurut aku,Netral
awalnya suka tapi ga sesuai ekspektasi wkwk,Negatif
banyak yang bilang keren tapi kurang cocok imo,Negatif
stylenya estetik,Netral
konsepnya menarik tapi tergantung selera haha,Netral
kombinasi warnanya kereen tapi menurut saya kurang estetik,Negatif
awalnya suka tapi terasa monoton menurutku,Negatif
gw masih netral melihatnya,Netral
sejujurnya biasa aja tapi makin menarik sih,Positif
awalnya suka tapi makin membosankan haha,Negatif
menarik sih tapi masih standar haha,Netral
desainnya kurang estetik,Negatif
buat gw pribadi biasa aja tapi malah estetik menurutku,Positif
awalnya suka tapi terasa monoton,Negatif
menarik sih tapi belum tentu gw pakai,Netral
mungkin cocok buat orang lain tapi bukan aku menurutku,Negatif
awalnya menarik tapi kurang cocok,Negatif
awalnya bagus tapi ga buruk juga,Netral
konsepnya oke tapi tetap terlihat menarik sih,Positif
awalnya kurang yakin tapi ternyata kereen wkwk,Positif
pas pertama lihat kurang menarik tapi makin dilihat makin menarikk jujur,Positif
kalau menurut gw biasa aja tapi jadi suka wkwk,Positif
banyak yang bilang keren tapi kurang cocok imo,Negatif
sejujurnya oke tapi lumayan aja jujur,Netral
kombinasi warnanya terlihat oke tapi ga ada yang spesial jujur,Netral
modelnya estetik tapi lumayan aja sih,Netral
jujur lumayan bagus tapi makin membosankan wkwk,Negatif
konsepnya agak monoton wkwk,Negatif
sejujurnya lumayan tapi kurang masuk di saya wkwk,Negatif
warnanya unik tapi menurut aku kurang cocok,Negatif
awalnya suka tapi kurang cocok sih,Negatif
awalnya menarik tapi ga ada yang spesial,Netral
modelnya cukup bagus,Netral
setelah beberapa kali lihat biasa aja tapi malah estetik wkwk,Positif
biasanya gue kurang suka model begini tapi yang ini menarik wkwk,Positif
looknya lumayan tapi tetap terlihat menarik menurutku,Positif
looknya lumayan tapi tetap terlihat menarik sih,Positif
kalau menurut saya baguss tapi kurang cocok jujur,Negatif
warnanya terlihat oke tapi masih standar sih,Netral
gue paham kenapa banyak yang suka tapi kurang cocok buat gue imo,Negatif
outfitnya oke tapi ga buruk juga jujur,Netral
banyak yang bilang keren tapi makin membosankan,Negatif
konsepnya terlihat oke tapi lumayan aja,Netral
belum punya pendapat khusus jujur,Netral
banyak yang bilang kereen tapi ternyata kurang menarikk jujur,Negatif
awalnya kurang yakin tapi jadi pengen coba wkwk,Positif
konsepnya unik tapi lumayan aja,Netral
kombinasi warnanya lumayan sih,Netral
masih biasa aja menurut aku wkwk,Netral
looknya cukup bagus menurutku,Netral
jujur oke tapi ga ada yang spesial,Netral
mungkin cocok buat sebagian orang wkwk,Netral
konsepnya kurang menarikk sih,Negatif
awalnya oke tapi ga ada yang spesial imo,Netral
kalau menurut aku kereen tapi jadi biasa aja menurutku,Negatif
sulit bilang bgs atau tidak wkwk,Netral
waktu pertama lihat cukup bagus tapi ga sesuai ekspektasi haha,Negatif
awalnya suka tapi makin membosankan imo,Negatif
masih biasa aja menurut saya jujur,Netral
outfitnya lumayan bgs haha,Netral
konsepnya menarikk sih,Positif
bukan style yang biasa saya pakai tapi saya suka,Positif
desainnya baguss,Netral
outfitnya oke,Positif
warnanya kurang estetik sih,Negatif
awalnya suka tapi makin membosankan wkwk,Negatif
awalnya suka tapi ternyata kurang menarik,Negatif
outfitnya lumayan wkwk,Positif
sejujurnya unik tapi lumayan aja menurutku,Netral
kombinasi warnanya lumayan imo,Positif
jujur menarikk tapi belum tentu saya pakai,Netral
awalnya kurang yakin tapi ternyata bagus juga haha,Positif
belum punya pendapat khusus,Netral
entah kenapa jadi tertarik wkwk,Positif
mungkin cocok buat orang lain tapi bukan gue,Negatif
entah kenapa bagus tapi kurang masuk di saya,Negatif
jujur biasa aja tapi ternyata cocok,Positif
setelah beberapa kali lihat biasa aja tapi malah estetik,Positif
looknya membosankan jujur,Negatif
waktu pertama lihat biasa aja tapi ternyata cocok,Positif
buat aku pribadi bagus tapi terasa monoton menurutku,Negatif
stylenya cukup bagus tapi menurut saya kurang estetik,Negatif
menarik sih tapi biasa aja menurut saya,Netral
looknya lumayan tapi tergantung selera,Netral
awalnya suka tapi makin membosankan sih,Negatif
awalnya kurang yakin tapi ternyata cocok,Positif
gue pribadi suka konsepnya menurutku,Positif
sulit bilang bgs atau tidak wkwk,Netral
bukan style yang biasa aku pakai tapi saya suka sih,Positif
buat gw pribadi kurang menarik,Negatif
kalau menurut saya menarik tapi ternyata kurang menarik haha,Negatif
stylenya terlihat oke tapi ga ada yang spesial,Netral
looknya bagus tapi lumayan aja,Netral
konsepnya bagus menurutku,Netral
awalnya suka tapi ternyata kurang menarik menurutku,Negatif
waktu pertama lihat kurang cocok tapi jadi pengen coba,Positif
konsepnya unik tapi ga ada yang spesial sih,Netral
waktu pertama lihat bagus tapi masih standar imo,Netral
stylenya lumayan,Netral
aku paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
outfitnya keren tapi menurut saya terlalu biasa wkwk,Negatif
menarik sih tapi ga ada yang spesial sih,Netral
warnanya unik wkwk,Netral
menarik sih tapi ga ada yang spesial menurutku,Netral
banyak yang bilang keren tapi terasa monoton menurutku,Negatif
warnanya kurang estetik imo,Negatif
kesan pertama terlalu biasa tapi makin menarik menurutku,Positif
awalnya kurang yakin tapi malah estetik menurutku,Positif
modelnya kurang menarikk,Negatif
modelnya agak monoton jujur,Negatif
modelnya terlihat oke tapi tergantung selera menurutku,Netral
biasanya gw kurang suka model begini tapi yang ini menarikk haha,Positif
banyak yang bilang keren tapi ga sesuai ekspektasi imo,Negatif
awalnya cukup bagus tapi kurang cocok haha,Negatif
waktu pertama lihat cukup bagus tapi ga sesuai ekspektasi imo,Negatif
modelnya estetik haha,Positif
awalnya kurang yakin tapi ternyata krn,Positif
outfitnya oke tapi menurut gw kurang menarik,Negatif
sejujurnya agak monoton tapi makin dilihat makin menarik,Positif
banyak yang bilang kereen tapi ternyata kurang menarik menurutku,Negatif
awalnya kurang yakin tapi ternyata cocok,Positif
stylenya oke tapi masih standar wkwk,Netral
desainnya terlihat oke tapi masih standar,Netral
kesan pertama lumayan tapi ga sesuai ekspektasi menurutku,Negatif
warnanya cukup bgs tapi tetap terlihat menarik haha,Positif
stylenya keren wkwk,Netral
gue paham kenapa banyak yang suka tapi kurang cocok buat saya sih,Negatif
modelnya lumayan tapi menurut aku agak monoton,Negatif
banyak yang bilang keren tapi kurang cocok wkwk,Negatif
saya masih belum suka model seperti ini imo,Negatif
desainnya menarikk,Netral
awalnya cukup bagus tapi belum tentu saya pakai,Netral
makin dilihat makin cocok,Positif
outfitnya oke wkwk,Netral
waktu pertama lihat kurang cocok tapi makin menarik,Positif
banyak yang bilang keren tapi kurang masuk di saya,Negatif
jujur biasa aja tapi jadi suka haha,Positif
jujur cukup baguss tapi biasa aja menurut saya sih,Netral
setelah beberapa kali lihat oke tapi makin membosankan,Negatif
setelah beberapa kali lihat biasa aja tapi ternyata cocok jujur,Positif
kombinasi warnanya kurang estetik,Negatif
waktu pertama lihat terlalu biasa tapi makin dilihat makin menarik haha,Positif
modelnya terlihat oke tapi ga buruk juga sih,Netral
setelah beberapa kali lihat kurang cocok tapi ternyata bagus juga wkwk,Positif
waktu pertama lihat bagus tapi ga buruk juga,Netral
kalau menurut saya biasa aja tapi ternyata cocok,Positif
modelnya keren tapi menurut saya agak monoton imo,Negatif
outfitnya cukup bagus tapi menurut saya agak monoton menurutku,Negatif
looknya lumayan tapi menurut gw kurang cocok,Negatif
awalnya kurang yakin tapi malah estetik menurutku,Positif
desainnya terlalu biasa wkwk,Negatif
biasanya saya kurang suka model begini tapi yang ini menarik,Positif
kesan pertama cukup bagus tapi biasa aja menurut saya wkwk,Netral
menarik sih tapi ga buruk juga haha,Netral
menarik sih tapi ga buruk juga sih,Netral
ga nyangka ternyata bagus sih,Positif
awalnya suka tapi makin membosankan haha,Negatif
outfitnya lumayan tapi tetap terlihat menarik,Positif
awalnya kurang yakin tapi jadi suka,Positif
stylenya bgs sih,Netral
stylenya menarik imo,Positif
konsepnya terlalu biasa imo,Negatif
buat aku pribadi keren tapi ga buruk juga wkwk,Netral
aku pribadi suka konsepnya haha,Positif
buat saya pribadi biasa aja tapi makin dilihat makin menarik,Positif
looknya oke tapi biasa aja menurut saya wkwk,Netral
stylenya estetik tapi menurut gue kurang estetik jujur,Negatif
banyak yang bilang krn tapi ternyata kurang menarik,Negatif
kombinasi warnanya menarik tapi tetap terlihat menarik jujur,Positif
warnanya lumayan tapi tetap terlihat menarikk,Positif
banyak yang bilang kereen tapi jadi biasa aja menurutku,Negatif
waktu pertama lihat lumayan tapi kurang masuk di gw haha,Negatif
ga jelek tapi juga ga spesial imo,Netral
jujur kurang cocok tapi ternyata bagus juga jujur,Positif
menarik sih tapi ga buruk juga,Netral
awalnya kurang yakin tapi jadi pengen coba,Positif
awalnya kurang yakin tapi ternyata bagus juga wkwk,Positif
menarik sih tapi belum tentu aku pakai,Netral
kalau menurut saya cukup baguss tapi terasa monoton,Negatif
banyak yang bilang kereen tapi ga sesuai ekspektasi jujur,Negatif
awalnya kurang yakin tapi ternyata cocok haha,Positif
ga nyangka ternyata baguss wkwk,Positif
kombinasi warnanya agak monoton haha,Negatif
warnanya menarik tapi masih standar menurutku,Netral
awalnya suka tapi ga sesuai ekspektasi menurutku,Negatif
banyak yang bilang keren tapi ternyata kurang menarik,Negatif
looknya terlihat oke tapi masih standar sih,Netral
menarik sih tapi ga buruk juga haha,Netral
banyak yang bilang keren tapi ternyata kurang menarikk imo,Negatif
saya masih belum suka model seperti ini haha,Negatif
setelah beberapa kali lihat agak monoton tapi malah estetik,Positif
kombinasi warnanya cukup bagus,Netral
entah kenapa oke tapi kurang cocok haha,Negatif
looknya oke tapi belum tentu saya pakai,Netral
buat saya pribadi membosankan tapi ternyata keren jujur,Positif
banyak yang bilang keren tapi kurang cocok sih,Negatif
looknya unik tapi tetap terlihat menarik,Positif
awalnya kurang yakin tapi makin menarik sih,Positif
looknya kurang cocok,Negatif
mungkin cocok buat sebagian orang sih,Netral
kombinasi warnanya lumayan tapi masih standar imo,Netral
awalnya terlalu biasa tapi jadi suka jujur,Positif
kombinasi warnanya agak monoton,Negatif
desainnya kurang estetik haha,Negatif
kombinasi warnanya oke tapi menurut saya kurang estetik,Negatif
desainnya unik,Netral
awalnya suka tapi jadi biasa aja,Negatif
banyak yang bilang keren tapi makin membosankan wkwk,Negatif
belum punya pendapat khusus,Netral
entah kenapa terlalu biasa tapi ternyata keren,Positif
outfitnya menarik tapi tetap terlihat menarikk,Positif
saya masih netral melihatnya,Netral
konsepnya estetik tapi menurut gue kurang estetik,Negatif
awalnya suka tapi makin membosankan wkwk,Negatif
kombinasi warnanya terlihat oke tapi ga buruk juga jujur,Netral
buat saya pribadi kurang menarikk haha,Negatif
awalnya kurang yakin tapi ternyata cocok,Positif
konsepnya lumayan tapi biasa aja menurut saya imo,Netral
mungkin cocok buat sebagian orang menurutku,Netral
sejujurnya biasa aja tapi jadi pengen coba,Positif
desainnya kurang estetik menurutku,Negatif
setelah beberapa kali lihat biasa aja tapi ternyata keren sih,Positif
buat saya pribadi kurang estetik tapi ternyata bagus juga jujur,Positif
pas pertama lihat biasa aja tapi jadi pengen coba menurutku,Positif
aku paham kenapa banyak yang suka tapi kurang cocok buat saya imo,Negatif
bukan style yang biasa saya pakai tapi saya suka menurutku,Positif
awalnya suka tapi ga sesuai ekspektasi wkwk,Negatif
waktu pertama lihat biasa aja tapi makin menarikk wkwk,Positif
sejujurnya membosankan tapi malah estetik,Positif
entah kenapa bgs tapi masih standar wkwk,Netral
awalnya kurang yakin tapi ternyata cocok haha,Positif
waktu pertama lihat kurang cocok tapi malah estetik wkwk,Positif
tidak jelek tapi juga tidak spesial sih,Netral
looknya bgs,Positif
saya pribadi suka konsepnya,Positif
konsepnya membosankan sih,Negatif
awalnya kurang yakin tapi ternyata keren haha,Positif
kalau menurut saya kurang estetik tapi jadi pengen coba jujur,Positif
awalnya suka tapi terasa monoton menurutku,Negatif
buat saya pribadi lumayan tapi terasa monoton,Negatif
waktu pertama lihat biasa aja tapi makin dilihat makin menarik jujur,Positif
modelnya cukup bgs sih,Positif
awalnya kurang yakin tapi ternyata cocok sih,Positif
awalnya suka tapi jadi biasa aja sih,Negatif
stylenya bagus,Netral
buat saya pribadi lumayan tapi ga buruk juga imo,Netral
looknya bagus tapi menurut saya agak monoton wkwk,Negatif
awalnya suka tapi ga sesuai ekspektasi menurutku,Negatif
saya masih belum suka model seperti ini,Negatif
desainnya lumayan sih,Positif
menarik sih tapi masih standar jujur,Netral
entah kenapa keren tapi makin membosankan,Negatif
waktu pertama lihat unik tapi masih standar menurutku,Netral
kesan pertama cukup bagus tapi ga buruk juga,Netral
saya pribadi suka konsepnya wkwk,Positif
awalnya suka tapi kurang masuk di saya imo,Negatif
waktu pertama lihat cukup bagus tapi kurang cocok jujur,Negatif
sulit bilang bagus atau tidak,Netral
pas pertama lihat bagus tapi tergantung selera haha,Netral
buat saya pribadi oke tapi ga sesuai ekspektasi,Negatif
setelah beberapa kali lihat unik tapi belum tentu saya pakai sih,Netral
modelnya terlihat oke tapi masih standar menurutku,Netral
awalnya biasa aja tapi ternyata baguss juga imo,Positif
konsepnya unik tapi ga buruk juga jujur,Netral
setelah beberapa kali lihat biasa aja tapi ternyata cocok,Positif
outfitnya estetik tapi lumayan aja,Netral
jujur biasa aja tapi ternyata cocok haha,Positif
gw masih netral melihatnya,Netral
menarik sih tapi lumayan aja menurutku,Netral
jujur keren tapi lumayan aja sih,Netral
looknya keren tapi tetap terlihat menarik haha,Positif
konsepnya terlihat oke tapi tergantung selera,Netral
desainnya oke tapi menurut saya kurang menarikk haha,Negatif
entah kenapa biasa aja tapi jadi pengen coba imo,Positif
kesan pertama biasa aja tapi malah estetik haha,Positif
modelnya bgs tapi tetap terlihat menarikk menurutku,Positif
stylenya menarik imo,Positif
banyak yang bilang keren tapi jadi biasa aja imo,Negatif
kalau menurut saya unik tapi jadi biasa aja,Negatif
awalnya suka tapi ternyata kurang menarik wkwk,Negatif
awalnya kurang yakin tapi jadi suka wkwk,Positif
outfitnya keren tapi ga ada yang spesial sih,Netral
banyak yang bilang keren tapi makin membosankan sih,Negatif
desainnya terlihat oke tapi biasa aja menurut saya haha,Netral
looknya bagus tapi tetap terlihat menarik imo,Positif
saya masih netral melihatnya imo,Netral
entah kenapa biasa aja tapi malah estetik jujur,Positif
belum punya pendapat khusus imo,Netral
awalnya suka tapi kurang masuk di saya sih,Negatif
tidak jelek tapi juga ga spesial haha,Netral
outfitnya unik,Positif
setelah beberapa kali lihat biasa aja tapi ternyata cocok,Positif
stylenya terlihat oke tapi belum tentu saya pakai,Netral
looknya menarik,Netral
menarik sih tapi lumayan aja,Netral
stylenya estetik tapi menurut saya kurang menarik jujur,Negatif
kalau menurut saya kurang estetik tapi ternyata keren,Positif
awalnya suka tapi makin membosankan haha,Negatif
awalnya kurang yakin tapi jadi suka wkwk,Positif
stylenya terlihat oke tapi belum tentu saya pakai,Netral
waktu pertama lihat kereen tapi biasa aja menurut saya imo,Netral
stylenya bagus,Positif
outfitnya menarik tapi menurut saya kurang cocok,Negatif
jujur biasa aja tapi ternyata bagus juga,Positif
awalnya suka tapi jadi biasa aja sih,Negatif
belum punya pendapat khusus wkwk,Netral
banyak yang bilang keren tapi kurang masuk di saya sih,Negatif
desainnya keren menurutku,Positif
buat gw pribadi bagus tapi makin membosankan sih,Negatif
kesan pertama oke tapi belum tentu saya pakai imo,Netral
kombinasi warnanya lumayan,Positif
kombinasi warnanya lumayan tapi menurut aku agak monoton imo,Negatif
awalnya suka tapi terasa monoton imo,Negatif
banyak yang bilang krn tapi terasa monoton menurutku,Negatif
jujur menarik tapi ga sesuai ekspektasi wkwk,Negatif
konsepnya bgs sih,Netral
menarik sih tapi tergantung selera imo,Netral
jujur biasa aja tapi malah estetik imo,Positif
menarikk sih tapi ga ada yang spesial imo,Netral
makin dilihat makin cocok menurutku,Positif
mungkin cocok buat sebagian orang,Netral
masih biasa aja menurut saya jujur,Netral
modelnya menarik tapi tetap terlihat menarikk haha,Positif
konsepnya cukup bagus haha,Netral
kombinasi warnanya terlihat oke tapi lumayan aja sih,Netral
menarik sih tapi masih standar sih,Netral
waktu pertama lihat kurang estetik tapi malah estetik sih,Positif
kombinasi warnanya kurang estetik,Negatif
buat saya pribadi krn tapi makin membosankan imo,Negatif
sulit bilang baguss atau tidak jujur,Netral
modelnya oke menurutku,Netral
awalnya cukup bagus tapi lumayan aja menurutku,Netral
setelah beberapa kali lihat keren tapi biasa aja menurut aku imo,Netral
kalau menurut gw cukup baguss tapi belum tentu saya pakai haha,Netral
ga nyangka ternyata bagus sih,Positif
awalnya suka tapi ternyata kurang menarik menurutku,Negatif
kesan pertama lumayan tapi terasa monoton jujur,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya,Negatif
aku masih belum suka model seperti ini jujur,Negatif
pas pertama lihat kurang estetik tapi makin menarik jujur,Positif
setelah beberapa kali lihat cukup bagus tapi makin membosankan,Negatif
outfitnya estetik tapi belum tentu saya pakai sih,Netral
banyak yang bilang keren tapi ternyata kurang menarik,Negatif
kalau menurut saya terlalu biasa tapi ternyata bagus juga imo,Positif
banyak yang bilang keren tapi terasa monoton imo,Negatif
kombinasi warnanya membosankan,Negatif
mungkin cocok buat orang lain tapi bukan saya sih,Negatif
saya paham kenapa banyak yang suka tapi kurang cocok buat saya menurutku,Negatif
kalau menurut saya menarik tapi terasa monoton sih,Negatif
konsepnya cukup baguss tapi menurut saya kurang menarik jujur,Negatif
kombinasi warnanya cukup bagus tapi menurut gw membosankan,Negatif
awalnya suka tapi ternyata kurang menarik wkwk,Negatif
kesan pertama terlalu biasa tapi jadi pengen coba,Positif
warnanya estetik tapi tetap terlihat menarik jujur,Positif
awalnya kurang yakin tapi jadi suka imo,Positif
outfitnya unik tapi menurut gue kurang cocok,Negatif
menarik sih tapi biasa aja menurut gue menurutku,Netral
warnanya unik tapi tetap terlihat menarik,Positif
banyak yang bilang keren tapi makin membosankan menurutku,Negatif
awalnya kurang yakin tapi jadi pengen coba,Positif
warnanya kurang estetik haha,Negatif
outfitnya terlihat oke tapi biasa aja menurut gw menurutku,Netral
jujur cukup bagus tapi belum tentu saya pakai wkwk,Netral
outfitnya menarik tapi ga ada yang spesial jujur,Netral
menarik sih tapi lumayan aja,Netral
saya masih netral melihatnya,Netral
gw pribadi suka konsepnya imo,Positif
awalnya kurang yakin tapi makin dilihat makin menarikk haha,Positif
awalnya kurang yakin tapi malah estetik wkwk,Positif
kombinasi warnanya kereen,Positif
buat saya pribadi kurang estetik tapi jadi suka,Positif
awalnya kurang yakin tapi makin menarik imo,Positif
banyak yang bilang keren tapi terasa monoton haha,Negatif
desainnya kurang menarikk jujur,Negatif
entah kenapa jadi tertarik imo,Positif
kesan pertama bgs tapi biasa aja menurut aku,Netral
modelnya krn jujur,Netral
kesan pertama unik tapi makin membosankan haha,Negatif
outfitnya menarikk imo,Netral
jujur biasa aja tapi jadi pengen coba,Positif
outfitnya lumayan haha,Netral
modelnya terlihat oke tapi masih standar jujur,Netral
waktu pertama lihat menarikk tapi ga sesuai ekspektasi menurutku,Negatif
banyak yang bilang keren tapi jadi biasa aja sih,Negatif
outfitnya oke tapi tetap terlihat menarik,Positif
outfitnya cukup bagus jujur,Positif
awalnya kurang yakin tapi malah estetik,Positif
saya masih netral melihatnya wkwk,Netral
setelah beberapa kali lihat unik tapi lumayan aja menurutku,Netral
bukan style yang biasa saya pakai tapi gue suka wkwk,Positif
outfitnya membosankan,Negatif
stylenya kurang cocok haha,Negatif
looknya agak monoton,Negatif
menarik sih tapi tergantung selera haha,Netral
biasanya saya kurang suka model begini tapi yang ini menarik,Positif
banyak yang bilang keren tapi kurang masuk di saya menurutku,Negatif
awalnya kurang yakin tapi ternyata kereen wkwk,Positif
saya masih netral melihatnya imo,Netral
awalnya kurang yakin tapi jadi suka sih,Positif
kombinasi warnanya unik tapi tetap terlihat menarik imo,Positif
menarikk sih tapi biasa aja menurut saya,Netral
entah kenapa jadi tertarik,Positif
menarik sih tapi ga buruk juga,Netral
kesan pertama oke tapi ga ada yang spesial,Netral
buat saya pribadi menarik tapi ga buruk juga menurutku,Netral
banyak yang bilang krn tapi jadi biasa aja imo,Negatif
kombinasi warnanya kurang cocok menurutku,Negatif
menarikk sih tapi ga buruk juga,Netral
looknya keren tapi menurut saya kurang estetik jujur,Negatif
mungkin cocok buat orang lain tapi bukan gue imo,Negatif
waktu pertama lihat biasa aja tapi malah estetik jujur,Positif
gak jelek tapi juga tidak spesial,Netral
setelah beberapa kali lihat kurang menarik tapi makin menarik haha,Positif
masih biasa aja menurut saya menurutku,Netral
banyak yang suka tapi saya kurang tertarik imo,Negatif
awalnya suka tapi makin membosankan haha,Negatif
desainnya lumayan tapi tetap terlihat menarik haha,Positif
kombinasi warnanya oke jujur,Positif
kalau menurut saya biasa aja tapi ternyata cocok,Positif
awalnya kurang yakin tapi jadi pengen coba,Positif
saya masih belum suka model seperti ini wkwk,Negatif
kalau menurut saya lumayan tapi jadi biasa aja haha,Negatif
banyak yang bilang keren tapi terasa monoton,Negatif
warnanya cukup baguss jujur,Positif
desainnya terlihat oke tapi biasa aja menurut gue sih,Netral
belum punya pendapat khusus,Netral
menarik sih tapi ga buruk juga,Netral
desainnya unik tapi tetap terlihat menarik haha,Positif
desainnya bagus menurutku,Positif
konsepnya oke tapi tetap terlihat menarik jujur,Positif
desainnya agak monoton imo,Negatif
tidak jelek tapi juga tidak spesial haha,Netral
makin dilihat makin cocok menurutku,Positif
desainnya unik menurutku,Netral
desainnya terlalu biasa sih,Negatif
makin dilihat makin cocok,Positif
kesan pertama lumayan tapi ga buruk juga sih,Netral
entah kenapa jadi tertarik imo,Positif
desainnya keren tapi menurut aku agak monoton haha,Negatif
looknya terlihat oke tapi masih standar,Netral
konsepnya terlihat oke tapi belum tentu gw pakai haha,Netral
menarikk sih tapi tergantung selera,Netral
menarik sih tapi belum tentu saya pakai sih,Netral
outfitnya kurang cocok wkwk,Negatif
jujur lumayan tapi belum tentu saya pakai jujur,Netral
waktu pertama lihat lumayan bagus tapi jadi biasa aja menurutku,Negatif
biasanya saya kurang suka model begini tapi yang ini menarik jujur,Positif
stylenya terlihat oke tapi belum tentu gw pakai wkwk,Netral
mungkin cocok buat sebagian orang haha,Netral
banyak yang bilang keren tapi ga sesuai ekspektasi,Negatif
looknya menarikk tapi menurut saya kurang estetik sih,Negatif
setelah beberapa kali lihat menarik tapi ternyata kurang menarik,Negatif
kesan pertama biasa aja tapi ternyata keren imo,Positif
awalnya biasa aja tapi makin dilihat makin menarik haha,Positif
konsepnya agak monoton wkwk,Negatif
pas pertama lihat biasa aja tapi ternyata cocok menurutku,Positif
setelah beberapa kali lihat oke tapi masih standar menurutku,Netral
desainnya cukup baguss imo,Netral
sejujurnya kurang cocok tapi makin menarikk,Positif
outfitnya estetik tapi tetap terlihat menarikk haha,Positif
pas pertama lihat lumayan tapi ga ada yang spesial,Netral
warnanya unik tapi lumayan aja wkwk,Netral
bukan style yang biasa saya pakai tapi aku suka,Positif
konsepnya terlihat oke tapi tergantung selera haha,Netral
menarikk sih tapi ga ada yang spesial sih,Netral
kombinasi warnanya lumayan tapi menurut saya kurang menarik menurutku,Negatif
awalnya biasa aja tapi ternyata keren imo,Positif
awalnya suka tapi jadi biasa aja,Negatif
biasanya saya kurang suka model begini tapi yang ini menarik,Positif
mungkin cocok buat sebagian orang imo,Netral
banyak yang bilang keren tapi jadi biasa aja jujur,Negatif
modelnya bagus tapi tetap terlihat menarik,Positif
